Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
SMSM Senanayake,8,9,211,32,23.44,6.59,21.33,2/26,0,17,5
SN Thakur,26,28,808,89,28.86,9.08,19.07,3/19,3,76,31
SP Narine,97,112,2569,384,22.94,6.69,20.57,5/20,12,194,79
SPD Smith,1,0,5,1,5.0,5.0,0.0,0/5,0,1,0
SR Tendulkar,4,0,59,6,59.0,9.83,0.0,0/8,0,6,1
SR Watson,105,92,2751,341,29.9,8.07,22.24,4/29,8,293,74
SS Agarwal,1,1,42,4,42.0,10.5,24.0,1/42,0,3,3
SS Mundhe,1,1,6,1,6.0,6.0,6.0,1/6,0,1,0
SS Sarkar,2,1,34,5,34.0,6.8,30.0,1/15,0,4,0
ST Jayasuriya,21,13,396,49,30.46,8.08,22.62,3/14,1,22,16
STR Binny,58,21,721,92,34.33,7.84,26.29,2/14,0,73,14
SW Tait,21,23,668,81,29.04,8.25,21.13,3/15,4,71,12
Sachin Baby,2,2,8,2,4.0,4.0,6.0,2/4,0,1,0
Sandeep Sharma,68,83,1967,249,23.7,7.9,18.0,4/20,9,200,68
Shahid Afridi,10,9,237,30,26.33,7.9,20.0,3/28,1,19,7
Shakib Al Hasan,59,57,1588,212,27.86,7.49,22.32,3/17,2,104,63
Shivam Sharma,5,4,165,19,41.25,8.68,28.5,2/26,0,9,10
Shoaib Ahmed,7,5,154,17,30.8,9.06,20.4,2/22,0,14,7
Shoaib Akhtar,3,5,54,7,10.8,7.71,8.4,4/11,1,6,2
Shoaib Malik,5,2,87,9,43.5,9.67,27.0,1/6,0,7,3
Sohail Tanvir,11,22,275,42,12.5,6.55,11.45,6/15,5,27,7
Sunny Gupta,1,0,47,3,47.0,15.67,0.0,0/47,0,4,3
Swapnil Singh,5,1,90,10,90.0,9.0,60.0,1/14,0,1,6
T Curran,5,6,121,11,20.17,11.0,11.0,2/20,0,6,9
T Henderson,2,1,41,6,41.0,6.83,36.0,1/30,0,5,0
T Natarajan,6,2,116,13,58.0,8.92,39.0,1/26,0,9,5
T Shamsi,4,3,151,16,50.33,9.44,32.0,1/23,0,13,7
T Thushara,6,8,164,23,20.5,7.13,17.25,2/16,0,15,4
TA Boult,28,33,998,109,30.24,9.16,19.82,3/19,2,114,29
TG Southee,37,27,1204,139,44.59,8.66,30.89,3/25,2,117,38
TL Suman,11,6,198,25,33.0,7.92,25.0,2/14,0,8,10
TM Dilshan,25,5,368,46,73.6,8.0,55.2,1/3,0,27,15
TM Head,5,2,81,9,40.5,9.0,27.0,2/30,0,3,5
TP Sudhindra,3,1,137,12,137.0,11.42,72.0,1/47,0,9,9
TS Mills,5,5,157,18,31.4,8.72,21.6,2/31,0,15,6
Tejas Baroka,1,0,33,4,33.0,8.25,0.0,0/33,0,2,2
UT Yadav,107,111,3249,378,29.27,8.6,20.43,4/24,13,344,97
Umar Gul,6,12,198,23,16.5,8.61,11.5,4/24,2,17,5
V Kohli,26,4,371,43,92.75,8.63,64.5,2/25,0,25,11
V Pratap Singh,9,10,300,34,30.0,8.82,20.4,2/31,0,31,10
V Sehwag,15,6,236,23,39.33,10.26,23.0,2/18,0,19,16
V Shankar,5,1,81,6,81.0,13.5,36.0,1/25,0,6,5
VR Aaron,40,38,1250,143,32.89,8.74,22.58,3/16,1,132,41
VRV Singh,18,12,549,60,45.75,9.15,30.0,3/29,1,58,16
VS Malik,13,6,268,35,44.67,7.66,35.0,2/14,0,30,6
