index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
60,BCJ Cutting,14,222,24.66666666666667,172.09,1.2713178294573644,0.35714285714285715,0.5979381443298969
61,BE Hendricks,2,1,1.0,33.33,0.0,0.5,0.3333333333333333
62,BJ Hodge,63,1399,33.3095238095238,121.97,0.6503923278116827,0.3333333333333333,0.664969450101833
63,BJ Rohrer,8,193,32.166666666666664,133.1,0.7862068965517242,0.25,0.6638655462184874
64,Basil Thampi,6,31,31.0,86.11,0.2777777777777778,0.8333333333333334,0.6176470588235294
65,Bipul Sharma,17,187,23.375,150.81,0.7903225806451613,0.5294117647058824,0.8557692307692307
66,C de Grandhomme,17,259,19.923076923076927,145.51,0.8202247191011236,0.23529411764705882,0.7583892617449665
67,CA Ingram,3,21,10.5,84.0,0.32,0.3333333333333333,0.5652173913043478
68,CA Lynn,28,884,35.36,138.12,0.934375,0.10714285714285714,0.5596868884540117
69,CA Pujara,22,390,20.526315789473685,97.01,0.5572139303482587,0.13636363636363635,0.47701149425287354
70,CH Gayle,111,3971,42.244680851063826,143.56,1.0925524222704266,0.15315315315315314,0.44057567316620244
71,CH Morris,31,480,36.92307692307692,160.0,0.96,0.5806451612903226,0.8
72,CJ Anderson,29,538,24.45454545454545,123.96,0.7972350230414746,0.2413793103448276,0.5289256198347108
73,CJ Ferguson,8,98,16.333333333333332,82.35,0.3025210084033613,0.25,0.5636363636363636
74,CL White,45,945,27.0,123.37,0.6684073107049608,0.2222222222222222,0.6600609756097561
75,CM Gautam,13,169,16.9,107.64,0.6624203821656051,0.23076923076923078,0.48507462686567165
76,CR Brathwaite,12,176,16.0,160.0,1.2,0.08333333333333333,0.5176470588235295
77,CR Woakes,11,63,10.5,95.45,0.48484848484848486,0.45454545454545453,0.5254237288135594
78,CRD Fernando,2,4,4.0,133.33,0.0,1.0,1.3333333333333333
79,D Salunkhe,3,33,16.5,137.5,0.8333333333333334,0.3333333333333333,0.6842105263157895
80,D Wiese,8,126,31.5,135.48,0.7741935483870968,0.5,0.7012987012987013
81,DA Miller,67,1630,35.43478260869565,136.4,0.7514644351464436,0.31343283582089554,0.7247524752475247
82,DA Warner,114,3985,40.252525252525245,138.13,0.8797227036395148,0.13157894736842105,0.6212966938600257
83,DAJ Bracewell,1,12,12.0,133.33,0.4444444444444444,1.0,1.0
84,DB Das,22,304,21.714285714285715,114.29,0.706766917293233,0.36363636363636365,0.5110132158590308
85,DB Ravi Teja,25,373,19.63157894736842,115.48,0.6006191950464397,0.24,0.6415770609318996
86,DE Bollinger,4,21,21.0,95.45,0.45454545454545453,0.75,0.55
87,DH Yagnik,17,168,16.8,121.74,0.7536231884057971,0.4117647058823529,0.5663716814159292
